Linux 5.4.0-193-generic (p4) 	08/25/2024 	_x86_64_	(8 CPU)

07:10:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:11:55 PM     all      0.78      0.00      0.65      0.26      0.00     98.31
07:11:56 PM     all      0.79      0.00      1.46      0.00      0.00     97.75
07:11:57 PM     all      0.64      0.00      0.52      0.00      0.00     98.84
07:11:58 PM     all      0.64      0.00      0.51      0.00      0.00     98.84
07:11:59 PM     all      0.39      0.00      0.39      0.00      0.00     99.22
07:12:00 PM     all      0.63      0.00      0.13      0.13      0.00     99.12
07:12:01 PM     all      0.65      0.00      0.39      0.00      0.00     98.97
07:12:02 PM     all      1.02      0.00      0.51      0.00      0.00     98.47
07:12:03 PM     all      0.52      0.00      0.64      0.00      0.00     98.84
07:12:04 PM     all      0.77      0.00      0.77      0.00      0.00     98.45
07:12:05 PM     all      0.65      0.00      0.39      0.13      0.00     98.83
07:12:06 PM     all      0.65      0.00      0.78      0.00      0.00     98.57
07:12:07 PM     all      0.39      0.00      0.92      0.26      0.00     98.43
07:12:08 PM     all      0.52      0.00      0.92      0.00      0.00     98.56
07:12:09 PM     all      0.65      0.00      0.52      0.00      0.00     98.83
07:12:10 PM     all      0.26      0.00      0.52      0.26      0.00     98.95
07:12:11 PM     all      0.52      0.00      0.52      0.00      0.00     98.95
07:12:12 PM     all      0.91      0.00      0.78      0.39      0.00     97.91
07:12:13 PM     all      0.77      0.00      0.26      0.00      0.00     98.98
07:12:14 PM     all      0.13      0.00      0.26      0.00      0.00     99.62
07:12:15 PM     all      0.52      0.00      0.26      0.00      0.00     99.23
07:12:16 PM     all      0.65      0.00      0.39      0.00      0.00     98.97
07:12:17 PM     all      0.65      0.00      0.91      0.13      0.00     98.31
07:12:18 PM     all      0.39      0.00      1.03      0.00      0.00     98.58
07:12:19 PM     all      0.39      0.00      0.77      0.13      0.00     98.71
07:12:20 PM     all      0.65      0.00      0.65      0.00      0.00     98.69
07:12:21 PM     all      0.65      0.00      1.05      0.00      0.00     98.30
07:12:22 PM     all      0.64      0.00      0.39      0.13      0.00     98.84
07:12:23 PM     all      0.90      0.00      0.52      0.00      0.00     98.58
07:12:24 PM     all      0.65      0.00      0.26      0.00      0.00     99.10
07:12:25 PM     all      0.65      0.00      0.65      0.00      0.00     98.70
07:12:26 PM     all      0.52      0.00      0.52      0.00      0.00     98.96
07:12:27 PM     all      0.90      0.00      0.64      0.26      0.00     98.20
07:12:28 PM     all      0.52      0.00      0.65      0.00      0.00     98.83
07:12:29 PM     all      0.65      0.00      0.39      0.00      0.00     98.96
07:12:30 PM     all      0.52      0.00      0.52      0.00      0.00     98.96
07:12:31 PM     all      0.93      0.00      0.79      0.00      0.00     98.28
07:12:32 PM     all      0.52      0.00      0.26      0.13      0.00     99.09
07:12:33 PM     all      0.66      0.00      1.32      0.26      0.00     97.76
07:12:34 PM     all      0.52      0.00      0.65      0.00      0.00     98.83
07:12:35 PM     all      0.52      0.00      0.39      0.00      0.00     99.09
07:12:36 PM     all      0.26      0.00      0.78      0.00      0.00     98.96
07:12:37 PM     all      0.50      0.00      0.50      0.25      0.00     98.75
07:12:38 PM     all      0.26      0.00      0.65      0.39      0.00     98.71
07:12:39 PM     all      0.64      0.00      0.38      0.00      0.00     98.97
07:12:40 PM     all      0.13      0.00      0.26      0.00      0.00     99.61
07:12:41 PM     all      3.85      0.00      0.26      0.00      0.00     95.89
07:12:42 PM     all      0.13      0.00      0.26      0.00      0.00     99.62
07:12:43 PM     all      0.51      0.00      0.51      0.13      0.00     98.86


Average:        all      0.68      0.00      0.61      0.08      0.00     98.64
