Linux 5.4.0-193-generic (p4) 	08/25/2024 	_x86_64_	(8 CPU)

07:28:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:30:10 PM     all      0.14      0.00      1.10      0.00      0.00     98.76
07:30:11 PM     all      0.13      0.00      1.69      0.26      0.00     97.92
07:30:12 PM     all      0.51      0.00      0.39      0.26      0.00     98.84
07:30:13 PM     all      0.51      0.00      0.64      0.00      0.00     98.85
07:30:14 PM     all      0.26      0.00      0.64      0.00      0.00     99.10
07:30:15 PM     all      0.26      0.00      0.52      0.00      0.00     99.23
07:30:16 PM     all      0.26      0.00      0.65      0.00      0.00     99.10
07:30:17 PM     all      0.13      0.00      0.52      0.00      0.00     99.35
07:30:18 PM     all      0.26      0.00      0.52      0.00      0.00     99.23
07:30:19 PM     all      0.52      0.00      0.52      0.00      0.00     98.97
07:30:20 PM     all      0.26      0.00      0.64      0.00      0.00     99.10
07:30:21 PM     all      0.26      0.00      0.92      0.13      0.00     98.68
07:30:22 PM     all      0.00      0.00      0.64      0.13      0.00     99.23
07:30:23 PM     all      0.27      0.00      1.21      0.00      0.00     98.52
07:30:24 PM     all      0.13      0.00      0.13      0.00      0.00     99.74
07:30:25 PM     all      0.26      0.00      0.65      0.00      0.00     99.10
07:30:26 PM     all      0.26      0.00      0.39      0.00      0.00     99.36
07:30:27 PM     all      0.39      0.00      0.39      0.26      0.00     98.97
07:30:28 PM     all      0.13      0.00      0.51      0.00      0.00     99.36
07:30:29 PM     all      0.26      0.00      1.43      0.00      0.00     98.31
07:30:30 PM     all      0.13      0.00      0.26      0.00      0.00     99.61
07:30:31 PM     all      0.13      0.00      0.39      0.13      0.00     99.35
07:30:32 PM     all      0.77      0.00      0.38      0.13      0.00     98.72
07:30:33 PM     all      0.51      0.00      0.51      0.00      0.00     98.97
07:30:34 PM     all      0.13      0.00      0.78      0.00      0.00     99.10
07:30:35 PM     all      0.26      0.00      0.65      0.00      0.00     99.09
07:30:36 PM     all      0.39      0.00      0.78      0.00      0.00     98.84
07:30:37 PM     all      0.40      0.00      0.40      0.27      0.00     98.94
07:30:38 PM     all      0.27      0.00      0.80      0.00      0.00     98.93
07:30:39 PM     all      0.40      0.00      1.06      0.00      0.00     98.55
07:30:40 PM     all      0.39      0.00      0.65      0.00      0.00     98.97
07:30:41 PM     all      0.00      0.00      0.78      0.00      0.00     99.22
07:30:42 PM     all      0.39      0.00      2.35      0.39      0.00     96.87
07:30:43 PM     all      0.00      0.00      0.26      0.00      0.00     99.74
07:30:44 PM     all      0.13      0.00      0.52      0.00      0.00     99.34
07:30:45 PM     all      0.39      0.00      0.64      0.00      0.00     98.97
07:30:46 PM     all      0.39      0.00      0.51      0.00      0.00     99.10
07:30:47 PM     all      0.52      0.00      0.26      0.39      0.00     98.84
07:30:48 PM     all      0.39      0.00      0.39      0.00      0.00     99.23
07:30:49 PM     all      0.51      0.00      0.77      0.00      0.00     98.71
07:30:50 PM     all      0.26      0.00      0.51      0.00      0.00     99.23
07:30:51 PM     all      0.39      0.00      0.64      0.00      0.00     98.97
07:30:52 PM     all      0.39      0.00      0.90      0.13      0.00     98.58
07:30:53 PM     all      0.26      0.00      0.26      0.00      0.00     99.49
07:30:54 PM     all      3.21      0.00      0.26      0.00      0.00     96.53
07:30:55 PM     all      0.13      0.00      0.51      0.00      0.00     99.36
07:30:56 PM     all      0.13      0.00      0.51      0.00      0.00     99.37
07:30:57 PM     all      0.13      0.00      0.26      0.00      0.00     99.62
07:30:58 PM     all      0.00      0.00      0.51      0.25      0.00     99.24
07:30:59 PM     all      0.26      0.00      0.13      0.00      0.00     99.61
07:31:00 PM     all      0.51      0.00      0.51      0.00      0.00     98.98
07:31:01 PM     all      0.13      0.00      0.13      0.00      0.00     99.74
07:31:02 PM     all      0.13      0.00      1.04      0.00      0.00     98.83
07:31:03 PM     all      0.38      0.00      0.51      0.26      0.00     98.85
07:31:04 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
07:31:05 PM     all      0.39      0.00      0.64      0.00      0.00     98.97
