Linux 5.4.0-193-generic (p4) 	08/25/2024 	_x86_64_	(8 CPU)

07:25:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:27:05 PM     all      0.39      0.00      0.52      0.26      0.00     98.83
07:27:06 PM     all      0.26      0.00      0.90      0.00      0.00     98.84
07:27:07 PM     all      0.40      0.00      0.80      0.00      0.00     98.80
07:27:08 PM     all      0.64      0.00      0.52      0.00      0.00     98.84
07:27:09 PM     all      0.13      0.00      0.52      0.00      0.00     99.35
07:27:10 PM     all      0.26      0.00      0.52      0.13      0.00     99.10
07:27:11 PM     all      0.51      0.00      0.64      0.00      0.00     98.84
07:27:12 PM     all      0.13      0.00      0.78      0.00      0.00     99.09
07:27:13 PM     all      0.26      0.00      0.51      0.13      0.00     99.10
07:27:14 PM     all      0.52      0.00      0.26      0.00      0.00     99.23
07:27:15 PM     all      0.39      0.00      0.51      0.13      0.00     98.97
07:27:16 PM     all      0.26      0.00      1.03      0.00      0.00     98.72
07:27:17 PM     all      0.13      0.00      0.77      0.00      0.00     99.10
07:27:18 PM     all      0.53      0.00      1.71      0.26      0.00     97.50
07:27:19 PM     all      0.13      0.00      0.39      0.00      0.00     99.48
07:27:20 PM     all      0.26      0.00      0.78      0.26      0.00     98.71
07:27:21 PM     all      0.39      0.00      0.78      0.00      0.00     98.83
07:27:22 PM     all      0.13      0.00      0.38      0.00      0.00     99.49
07:27:23 PM     all      0.27      0.00      0.66      0.13      0.00     98.94
07:27:24 PM     all      0.26      0.00      0.39      0.00      0.00     99.35
07:27:25 PM     all      0.26      0.00      0.39      0.13      0.00     99.22
07:27:26 PM     all      0.26      0.00      0.78      0.00      0.00     98.96
07:27:27 PM     all      0.26      0.00      0.52      0.13      0.00     99.10
07:27:28 PM     all      0.39      0.00      0.52      0.00      0.00     99.09
07:27:29 PM     all      0.13      0.00      0.26      0.00      0.00     99.61
07:27:30 PM     all      0.51      0.00      0.77      0.13      0.00     98.58
07:27:31 PM     all      0.52      0.00      0.39      0.00      0.00     99.10
07:27:32 PM     all      0.51      0.00      0.64      0.00      0.00     98.85
07:27:33 PM     all      0.65      0.00      0.77      0.00      0.00     98.58
07:27:34 PM     all      0.00      0.00      0.51      0.00      0.00     99.49
07:27:35 PM     all      0.39      0.00      0.51      0.13      0.00     98.97
